2024-04-23 15:31:11 install microcode-initrd:amd64 <none> 3build1
2024-04-23 15:31:11 status half-installed microcode-initrd:amd64 3build1
2024-04-23 15:31:11 status unpacked microcode-initrd:amd64 3build1
2024-04-23 15:31:11 install linux-image-aws:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:11 status half-installed linux-image-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:11 status unpacked linux-image-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:11 install linux-aws-headers-6.8.0-1008:all <none> 6.8.0-1008.8
2024-04-23 15:31:11 status half-installed linux-aws-headers-6.8.0-1008:all 6.8.0-1008.8
2024-04-23 15:31:14 status unpacked linux-aws-headers-6.8.0-1008:all 6.8.0-1008.8
2024-04-23 15:31:14 install linux-headers-6.8.0-1008-aws:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:14 status half-installed linux-headers-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 status unpacked linux-headers-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 install linux-headers-aws:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:15 status half-installed linux-headers-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 status unpacked linux-headers-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 install linux-aws:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:15 status half-installed linux-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 status unpacked linux-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 install linux-tools-common:all <none> 6.8.0-31.31
2024-04-23 15:31:15 status half-installed linux-tools-common:all 6.8.0-31.31
2024-04-23 15:31:15 status unpacked linux-tools-common:all 6.8.0-31.31
2024-04-23 15:31:15 install linux-aws-tools-6.8.0-1008:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:15 status half-installed linux-aws-tools-6.8.0-1008:amd64 6.8.0-1008.8
2024-04-23 15:31:15 status unpacked linux-aws-tools-6.8.0-1008:amd64 6.8.0-1008.8
2024-04-23 15:31:15 install linux-tools-6.8.0-1008-aws:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:15 status half-installed linux-tools-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 status unpacked linux-tools-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:15 install manpages-dev:all <none> 6.7-2
2024-04-23 15:31:15 status half-installed manpages-dev:all 6.7-2
2024-04-23 15:31:16 status unpacked manpages-dev:all 6.7-2
2024-04-23 15:31:16 install ubuntu-kernel-accessories:amd64 <none> 1.539
2024-04-23 15:31:16 status half-installed ubuntu-kernel-accessories:amd64 1.539
2024-04-23 15:31:16 status unpacked ubuntu-kernel-accessories:amd64 1.539
2024-04-23 15:31:16 startup packages configure
2024-04-23 15:31:16 configure libsharpyuv0:amd64 1.3.2-0.4build3 <none>
2024-04-23 15:31:16 status unpacked libsharpyuv0:amd64 1.3.2-0.4build3
2024-04-23 15:31:16 status half-configured libsharpyuv0:amd64 1.3.2-0.4build3
2024-04-23 15:31:16 status installed libsharpyuv0:amd64 1.3.2-0.4build3
2024-04-23 15:31:16 configure libaom3:amd64 3.8.2-2build1 <none>
2024-04-23 15:31:16 status unpacked libaom3:amd64 3.8.2-2build1
2024-04-23 15:31:16 status half-configured libaom3:amd64 3.8.2-2build1
2024-04-23 15:31:16 status installed libaom3:amd64 3.8.2-2build1
2024-04-23 15:31:16 configure manpages-dev:all 6.7-2 <none>
2024-04-23 15:31:16 status unpacked manpages-dev:all 6.7-2
2024-04-23 15:31:16 status half-configured manpages-dev:all 6.7-2
2024-04-23 15:31:16 status installed manpages-dev:all 6.7-2
2024-04-23 15:31:16 configure ubuntu-kernel-accessories:amd64 1.539 <none>
2024-04-23 15:31:16 status unpacked ubuntu-kernel-accessories:amd64 1.539
2024-04-23 15:31:16 status half-configured ubuntu-kernel-accessories:amd64 1.539
2024-04-23 15:31:16 status installed ubuntu-kernel-accessories:amd64 1.539
2024-04-23 15:31:16 configure linux-aws-headers-6.8.0-1008:all 6.8.0-1008.8 <none>
2024-04-23 15:31:16 status unpacked linux-aws-headers-6.8.0-1008:all 6.8.0-1008.8
2024-04-23 15:31:16 status half-configured linux-aws-headers-6.8.0-1008:all 6.8.0-1008.8
2024-04-23 15:31:16 status installed linux-aws-headers-6.8.0-1008:all 6.8.0-1008.8
2024-04-23 15:31:16 configure liblerc4:amd64 4.0.0+ds-4ubuntu2 <none>
2024-04-23 15:31:16 status unpacked liblerc4:amd64 4.0.0+ds-4ubuntu2
2024-04-23 15:31:16 status half-configured liblerc4:amd64 4.0.0+ds-4ubuntu2
2024-04-23 15:31:16 status installed liblerc4:amd64 4.0.0+ds-4ubuntu2
2024-04-23 15:31:16 configure libxpm4:amd64 1:3.5.17-1build2 <none>
2024-04-23 15:31:16 status unpacked libxpm4:amd64 1:3.5.17-1build2
2024-04-23 15:31:16 status half-configured libxpm4:amd64 1:3.5.17-1build2
2024-04-23 15:31:16 status installed libxpm4:amd64 1:3.5.17-1build2
2024-04-23 15:31:16 configure iucode-tool:amd64 2.3.1-3build1 <none>
2024-04-23 15:31:16 status unpacked iucode-tool:amd64 2.3.1-3build1
2024-04-23 15:31:16 status half-configured iucode-tool:amd64 2.3.1-3build1
2024-04-23 15:31:16 status installed iucode-tool:amd64 2.3.1-3build1
2024-04-23 15:31:16 configure intel-microcode:amd64 3.20240312.1build1 <none>
2024-04-23 15:31:16 status unpacked intel-microcode:amd64 3.20240312.1build1
2024-04-23 15:31:16 status half-configured intel-microcode:amd64 3.20240312.1build1
2024-04-23 15:31:16 status installed intel-microcode:amd64 3.20240312.1build1
2024-04-23 15:31:16 status triggers-pending initramfs-tools:all 0.142ubuntu25
2024-04-23 15:31:16 configure libdeflate0:amd64 1.19-1build1 <none>
2024-04-23 15:31:16 status unpacked libdeflate0:amd64 1.19-1build1
2024-04-23 15:31:16 status half-configured libdeflate0:amd64 1.19-1build1
2024-04-23 15:31:16 status installed libdeflate0:amd64 1.19-1build1
2024-04-23 15:31:16 configure linux-libc-dev:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:16 status unpacked linux-libc-dev:amd64 6.8.0-31.31
2024-04-23 15:31:16 status half-configured linux-libc-dev:amd64 6.8.0-31.31
2024-04-23 15:31:16 status installed linux-libc-dev:amd64 6.8.0-31.31
2024-04-23 15:31:16 configure amd64-microcode:amd64 3.20231019.1ubuntu2 <none>
2024-04-23 15:31:16 status unpacked amd64-microcode:amd64 3.20231019.1ubuntu2
2024-04-23 15:31:16 status half-configured amd64-microcode:amd64 3.20231019.1ubuntu2
2024-04-23 15:31:16 status installed amd64-microcode:amd64 3.20231019.1ubuntu2
2024-04-23 15:31:16 configure libjbig0:amd64 2.1-6.1ubuntu2 <none>
2024-04-23 15:31:16 status unpacked libjbig0:amd64 2.1-6.1ubuntu2
2024-04-23 15:31:16 status half-configured libjbig0:amd64 2.1-6.1ubuntu2
2024-04-23 15:31:16 status installed libjbig0:amd64 2.1-6.1ubuntu2
2024-04-23 15:31:16 configure hwdata:all 0.379-1 <none>
2024-04-23 15:31:16 status unpacked hwdata:all 0.379-1
2024-04-23 15:31:16 status half-configured hwdata:all 0.379-1
2024-04-23 15:31:16 status installed hwdata:all 0.379-1
2024-04-23 15:31:16 configure rpcsvc-proto:amd64 1.4.2-0ubuntu7 <none>
2024-04-23 15:31:16 status unpacked rpcsvc-proto:amd64 1.4.2-0ubuntu7
2024-04-23 15:31:16 status half-configured rpcsvc-proto:amd64 1.4.2-0ubuntu7
2024-04-23 15:31:16 status installed rpcsvc-proto:amd64 1.4.2-0ubuntu7
2024-04-23 15:31:16 configure microcode-initrd:amd64 3build1 <none>
2024-04-23 15:31:16 status unpacked microcode-initrd:amd64 3build1
2024-04-23 15:31:16 status half-configured microcode-initrd:amd64 3build1
2024-04-23 15:31:16 status installed microcode-initrd:amd64 3build1
2024-04-23 15:31:16 configure fonts-dejavu-mono:all 2.37-8 <none>
2024-04-23 15:31:16 status unpacked fonts-dejavu-mono:all 2.37-8
2024-04-23 15:31:16 status half-configured fonts-dejavu-mono:all 2.37-8
2024-04-23 15:31:16 status installed fonts-dejavu-mono:all 2.37-8
2024-04-23 15:31:16 configure fonts-dejavu-core:all 2.37-8 <none>
2024-04-23 15:31:16 status unpacked fonts-dejavu-core:all 2.37-8
2024-04-23 15:31:16 status half-configured fonts-dejavu-core:all 2.37-8
2024-04-23 15:31:16 status installed fonts-dejavu-core:all 2.37-8
2024-04-23 15:31:16 configure linux-headers-6.8.0-1008-aws:amd64 6.8.0-1008.8 <none>
2024-04-23 15:31:16 status unpacked linux-headers-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:16 status half-configured linux-headers-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:16 status installed linux-headers-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:16 configure libjpeg-turbo8:amd64 2.1.5-2ubuntu2 <none>
2024-04-23 15:31:16 status unpacked libjpeg-turbo8:amd64 2.1.5-2ubuntu2
2024-04-23 15:31:16 status half-configured libjpeg-turbo8:amd64 2.1.5-2ubuntu2
